datetime,season,weather,temp,atemp,humidity,windspeed
2012-01-01 00:00:00,1,1,14.76,18.94,66,0.0
2012-01-01 01:00:00,1,1,14.76,17.425,66,8.9981
2012-01-01 02:00:00,1,1,13.12,17.425,76,0.0
2012-01-01 03:00:00,1,1,12.3,16.665,81,0.0
2012-01-01 04:00:00,1,1,11.48,15.15,81,6.0032
2012-01-01 05:00:00,1,1,11.48,14.395,81,7.0015
2012-01-01 06:00:00,1,1,10.66,13.635,93,8.9981
2012-01-01 07:00:00,1,1,10.66,12.88,93,11.0014
2012-01-01 08:00:00,1,1,10.66,13.635,87,7.0015
2012-01-01 09:00:00,1,1,10.66,13.635,93,7.0015
2012-01-01 10:00:00,1,1,12.3,15.91,81,7.0015
2012-01-01 11:00:00,1,1,13.94,16.665,76,8.9981
2012-01-01 12:00:00,1,1,16.4,20.455,62,19.0012
2012-01-01 13:00:00,1,1,17.22,21.21,58,19.0012
2012-01-01 14:00:00,1,1,18.04,21.97,54,19.9995
2012-01-01 15:00:00,1,1,18.86,22.725,51,19.9995
2012-01-01 16:00:00,1,2,18.04,21.97,54,19.9995
2012-01-01 17:00:00,1,2,19.68,23.485,48,11.0014
2012-01-01 18:00:00,1,3,18.86,22.725,59,16.9979
2012-01-01 19:00:00,1,3,17.22,21.21,67,26.0027
2012-01-01 20:00:00,1,2,18.04,21.97,62,19.9995
2012-01-01 21:00:00,1,2,18.04,21.97,67,16.9979
2012-01-01 22:00:00,1,1,18.86,22.725,55,27.9993
2012-01-01 23:00:00,1,1,18.04,21.97,51,19.9995
2012-01-02 00:00:00,1,1,16.4,20.455,40,31.0009
2012-01-02 01:00:00,1,1,14.76,16.665,43,27.9993
2012-01-02 02:00:00,1,1,14.76,15.91,34,30.0026
2012-01-02 04:00:00,1,1,11.48,12.88,45,22.0028
2012-01-02 05:00:00,1,1,11.48,12.88,45,22.0028
2012-01-02 06:00:00,1,1,10.66,11.365,41,26.0027
2012-01-02 07:00:00,1,1,9.84,10.605,32,26.0027
2012-01-02 08:00:00,1,1,9.84,11.365,35,16.9979
2012-01-02 09:00:00,1,1,9.84,12.88,35,0.0
2012-01-02 10:00:00,1,1,10.66,12.12,35,19.0012
2012-01-02 11:00:00,1,1,10.66,10.605,35,32.9975
2012-01-02 12:00:00,1,1,11.48,13.635,36,16.9979
2012-01-02 13:00:00,1,1,12.3,13.635,36,19.9995
2012-01-02 14:00:00,1,1,12.3,13.635,36,27.9993
2012-01-02 15:00:00,1,1,11.48,12.12,38,30.0026
2012-01-02 16:00:00,1,1,10.66,11.365,35,27.9993
